transactionamount,transactionduration,loginattempts,accountbalance,hour,day_of_week,is_weekend,is_night,amount_zscore,amount_to_mean_ratio,rolling_tx_count_7d,rolling_spend_7d,is_debit,location_freq
47.79,37,1,1649.92,17,4,0,0,-0.7071067811865476,0.36654394845835253,1.0,47.79,1,0.024681528662420384
212.97,178,1,4180.4,16,1,0,0,0.7071067811865476,1.6334560515416476,1.0,212.97,1,0.02428343949044586
476.99,187,1,1154.48,16,1,0,0,0.9363838077887109,1.6238273328113375,1.0,476.99,1,0.023487261146496817
59.32,38,1,5750.89,16,1,0,0,-1.1979058072432336,0.2019443539327209,1.0,59.32,1,0.02746815286624204
12.62,61,1,6420.47,16,4,0,0,-1.436542350499852,0.04296253787307717,1.0,12.62,1,0.018312101910828025
263.99,227,2,4175.02,16,1,0,0,-0.15204410899201112,0.8987068441452966,1.0,263.99,1,0.01950636942675159
395.16,17,1,5340.73,16,0,0,0,0.5182333081165679,1.3452517009449425,1.0,395.16,1,0.021894904458598725
331.66,145,1,7216.3,17,0,0,0,0.1937489291702024,1.1290772829623434,1.0,331.66,1,0.021894904458598725
516.47,94,1,1305.06,17,3,0,0,1.1381262216596166,1.7582299473302827,1.0,516.47,0,0.027070063694267517
20.17,86,1,3869.37,16,0,0,0,-1.470791323367814,0.07963895952113965,1.0,20.17,1,0.023487261146496817
237.97,69,1,13486.15,17,0,0,0,-0.0965266354275063,0.9395975804286367,1.0,237.97,1,0.021496815286624203
416.62,67,1,9700.9,17,0,0,0,1.0307111354656802,1.644976862454001,1.0,416.62,0,0.020302547770700636
384.11,12,1,7902.52,16,0,0,0,0.8255809931105864,1.5166148111881483,1.0,384.11,1,0.02786624203821656
207.47,12,1,1688.9,18,0,0,0,-0.28897416978094703,0.8191717864080735,1.0,207.47,1,0.025477707006369428
13.16,98,1,1019.46,17,0,0,0,-0.9912997190378543,0.054328281530952996,1.0,13.16,1,0.02428343949044586
642.54,28,1,3143.17,18,2,0,0,1.732327080263868,2.6525907306153904,1.0,642.54,1,0.021894904458598725
99.25,93,1,2570.34,16,0,0,0,-0.6187473164322975,0.40973267036072075,1.0,99.25,0,0.021894904458598725
547.87,131,1,6155.76,17,0,0,0,1.3226449341996556,2.2617656232798797,1.0,547.87,1,0.021496815286624203
61.62,19,1,8365.37,16,0,0,0,-0.781590235587218,0.25438516017760815,1.0,61.62,1,0.025477707006369428
136.31,65,1,4384.95,16,0,0,0,-0.458371058556099,0.5627270558878574,1.0,136.31,1,0.021894904458598725
365.43,176,1,1073.51,16,3,0,0,0.5331402259715483,1.5086006018127778,1.0,365.43,1,0.016719745222929936
273.24,173,1,2202.21,16,1,0,0,0.1341902202077398,1.1280136508751974,1.0,273.24,1,0.02388535031847134
40.66,156,1,1153.84,16,0,0,0,-0.8722941310293422,0.16785622545961615,1.0,40.66,1,0.020302547770700636
162.59,19,1,7104.83,16,2,0,0,-0.9783477596926449,0.4672469561941011,1.0,162.59,1,0.02308917197452229
377.92,204,1,2254.71,17,2,0,0,0.15803465753734883,1.0860567666207928,2.0,540.51,1,0.023487261146496817
680.76,165,1,572.97,16,0,0,0,1.7562422980608767,1.9563505621421753,3.0,1221.27,1,0.02428343949044586
420.28,144,1,8557.32,17,2,0,0,0.3815852969924293,1.2077898440817811,1.0,420.28,1,0.01910828025477707
417.8,130,1,1518.82,16,0,0,0,0.36849734642943144,1.2006628839282578,1.0,417.8,0,0.026671974522292995
488.54,132,1,7486.63,17,0,0,0,0.7418205814401116,1.4039536747590022,1.0,488.54,1,0.02388535031847134
116.89,226,1,4880.31,16,0,0,0,-1.2195249132124086,0.33591547271989963,1.0,116.89,1,0.021496815286624203
359.51,157,1,7153.72,18,3,0,0,0.06087773420476994,1.0331505825779033,1.0,359.51,1,0.027070063694267517
107.48,129,1,591.23,18,0,0,0,-1.2691852417599134,0.30887325697608703,2.0,466.99,1,0.02587579617834395
158.56,100,1,5401.21,17,1,0,0,-0.3966131671727071,0.623196950045199,1.0,158.56,1,0.02109872611464968
74.88,202,1,420.67,16,2,0,0,-0.7427964343992862,0.29430491687301025,1.0,74.88,1,0.02428343949044586
611.15,121,1,892.83,17,4,0,0,1.4757468341905504,2.4020359234367015,1.0,611.15,1,0.025079617834394906
173.13,288,1,1490.34,16,3,0,0,-0.33633723261855736,0.680462209645089,1.0,173.13,0,0.02428343949044586
162.63,113,1,634.17,17,0,0,0,-0.567965537469916,0.5437748264655138,1.0,162.63,1,0.02428343949044586
637.75,152,1,4202.92,16,0,0,0,1.4097530190484615,2.1324011288100686,1.0,637.75,1,0.01950636942675159
466.64,11,1,10915.11,16,0,0,0,0.6974962792651235,1.5602723053671979,1.0,466.64,1,0.021894904458598725
90.88,284,1,7117.35,17,0,0,0,-0.8666296779611468,0.30386925062525916,1.0,90.88,1,0.02388535031847134
137.48,47,1,14273.42,17,0,0,0,-0.6726540828825216,0.4596824887319611,1.0,137.48,1,0.02428343949044586
76.16,99,1,1072.25,16,1,0,0,0.0,1.0,1.0,76.16,1,0.02269108280254777
243.08,93,1,131.25,16,1,0,0,0.3211482811263314,1.2350621900658483,1.0,243.08,0,0.02388535031847134
425.18,135,1,5790.55,16,0,0,0,1.5852219019352745,2.1602918461913667,2.0,668.26,0,0.02388535031847134
87.38,252,1,1504.99,18,4,0,0,-0.7596659020694536,0.443967970083733,1.0,87.38,1,0.02428343949044586
153.59,174,1,4813.12,17,3,0,0,-0.3000595625100899,0.7803735468661085,1.0,153.59,0,0.016719745222929936
74.85,117,1,2409.73,17,0,0,0,-0.8466447184820624,0.3803044467929436,1.0,74.85,1,0.023487261146496817
281.91,269,1,225.53,17,3,0,0,-0.26198521180554785,0.7127501652417948,1.0,281.91,1,0.024681528662420384
7.56,145,1,8528.72,16,0,0,0,-0.8946137796566285,0.019113870558788153,1.0,7.56,1,0.021894904458598725
1086.6,38,1,1605.67,17,0,0,0,1.5935638396399998,2.747239649362329,1.0,1086.6,1,0.023487261146496817
838.57,273,1,14576.47,16,0,0,0,1.0216270301480974,2.1201479410691775,1.0,838.57,1,0.021894904458598725
508.68,127,1,7708.41,16,0,0,0,0.26092778375337156,1.2860904333127459,2.0,1347.25,0,0.02428343949044586
34.17,54,1,726.55,16,1,0,0,-0.8332533051149217,0.08639166097801472,1.0,34.17,0,0.026671974522292995
11.18,161,1,5956.89,16,3,0,0,-0.8862663569643707,0.028266279477149676,1.0,11.18,1,0.02428343949044586
